,-,Rama,Rama,Rama,Rama,-,-,-,-,-,-,-,-,Disciplina,Disciplina,Disciplina,Disciplina,-,-,-,-,-,-,-,-
0,Institución,Total,Ciencias,Aplicadas,,Arquitectura,y,Diseño,,-,Astronomía,,-,Bioquímica,y,Farmacia,,Ciencias,Agropecuarias,,,-,Ciencias,del,Suelo
1,-,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
49,San Pablo -T,178,41,137,14,143,33,110,13,-,-,-,-,-,-,-,-,35,8,27,1,-,-,-,-
50,Torcuato Di Tella,174,44,130,17,174,44,130,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,Total Institutos Universitarios,1.785,328,1.457,233,-,-,-,-,35,19,16,0,-,-,-,-,-,-,-,-,53,0,53,10
52,CEMIC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,Cs. De la Salud de laFundación Barceló,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,Escuela Argentina de Negocios,53,0,53,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,0,53,10
55,Escuela de Medicina del Hospital Italiano,35,19,16,0,-,-,-,-,35,19,16,0,-,-,-,-,-,-,-,-,-,-,-,-
56,Escuela Universitaria de Teología,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,ESEADE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,Gran Rosario,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,ISEDET,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,Italiano de Rosario,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,ITBA,1.697,309,1.388,223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,River Plate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
