Universidad,Facultad,Dirección
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Centro Regional Pergamino,"Dirección: Pasteur 68, Pergamino, Pcia de Buenos Aires, Argentina"
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Derecho Canónico,Dirección: Av. Alicia Moreau de Justo 1600 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Abierta Interamericana,Facultad de Ciencias de la Comunicación,Dirección: San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Abierta Interamericana,Facultad de Ciencias Empresariales,Dirección: San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Abierta Interamericana,Facultad de Desarrollo e Investigación Educativos,Dirección: San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Abierta Interamericana,Facultad de Medicina y Ciencias de la Salud,Dirección: San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Abierta Interamericana,Facultad de Psicología y Relaciones Humanas,Dirección: San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Abierta Interamericana,Facultad de Motricidad Humana y Deportes,Dirección: San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Abierta Interamericana,Facultad de Arquitectura.,Dirección: San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Abierta Interamericana,Facultad de Derecho y Ciencias Políticas,Dirección: San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Abierta Interamericana,Facultad de Tecnología Informática,Dirección: San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Dirección: San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina de la Empresa,Escuela de Dirección de Empresas,Dirección: Libertad 1340 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina de la Empresa,Facultad de Ciencias Económicas,Dirección: Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina de la Empresa,Facultad de Administración y Negocios,Dirección: Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina de la Empresa,Facultad de Arquitectura y Diseño,Dirección: Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina de la Empresa,Facultad de Ciencias Jurídicas y Sociales,Dirección: Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
