;Universidad;Facultad;Domicilio
141;Universidad Nacional de La Plata;Facultad de Ciencias Jurídicas y Sociales;48 e/ 6 y 7 - - La Plata - Buenos Aires 
146;Universidad Nacional de La Plata;Facultad de Ciencias Médicas;60 y 118 - - La Plata - Buenos Aires 
137;Universidad Nacional de La Plata;Facultad de Ciencias Naturales y Museo;60 y 122 - - La Plata - Buenos Aires 
138;Universidad Nacional de La Plata;Facultad de Ciencias Veterinarias;60 y 118 - - La Plata - Buenos Aires 
132;Universidad Nacional de La Plata;Facultad de Humanidades y Ciencias de la Educación;48 e/ 6 y 7 s/n - La Plata - Buenos Aires 
143;Universidad Nacional de La Plata;Facultad de Informática;calle 50 esq 120 - - La Plata - Buenos Aires 
144;Universidad Nacional de La Plata;Facultad de Informática e Ingeniería;Calle 47 y 1 / Calle 50 y 120 - - La Plata - Buenos Aires 
142;Universidad Nacional de La Plata;Facultad de Ingeniería;1 y 47 - - La Plata - Buenos Aires 
147;Universidad Nacional de La Plata;Facultad de Odontología;1 y 50 - - La Plata - Buenos Aires 
140;Universidad Nacional de La Plata;Facultad de Periodismo y Comunicación Social;Edificio Bosque: Diagonal 113 y 63 291 - La Plata - Buenos Aires 
149;Universidad Nacional de La Plata;Facultad de Psicología;51 entre 123 y 124 - - Ensenada - Buenos Aires 
148;Universidad Nacional de La Plata;Facultad de Trabajo Social;Calle 9 esq. 63 - - La Plata - Buenos Aires 
127;Universidad Nacional de Lanús;Departamento de Desarrollo Productivo y Tecnológico;29 de Septiembre 3901 - Remedios de Escalada - Buenos Aires 
128;Universidad Nacional de Lanús;Departamento de Humanidades y Artes;29 de Septiembre 3901 - Remedios de Escalada - Buenos Aires 
129;Universidad Nacional de Lanús;Departamento de Planificación y Políticas Públicas;29 de Septiembre 3901 - Remedios de Escalada - Buenos Aires 
130;Universidad Nacional de Lanús;Departamento de Salud Comunitaria;29 de Septiembre 3901 - Remedios de Escalada - Buenos Aires 
247;Universidad Nacional de Lomas de Zamora;Facultad de Ciencias Agrarias;Juan XXIII y Ruta Provincial Nº 4 s/n - Lomas De Zamora - Buenos Aires 
254;Universidad Nacional de Lomas de Zamora;Facultad de Ciencias Econòmicas;Juan XXIII y Ruta Provincial Nº 4 s/n - Lomas De Zamora - Buenos Aires 
249;Universidad Nacional de Lomas de Zamora;Facultad de Ciencias Sociales;Juan XXIII y Ruta Provincial Nº 4 s/n - Lomas De Zamora - Buenos Aires 
256;Universidad Nacional de Lomas de Zamora;Facultad de Ciencias Sociales - sede CABA;Miguel Sanchez 1050 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
251;Universidad Nacional de Lomas de Zamora;Facultad de Derecho;Juan XXIII y Ruta Provincial Nº 4 s/n - Lomas De Zamora - Buenos Aires 
255;Universidad Nacional de Lomas de Zamora;Facultad de Derecho - sede CABA;Perú 625 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
259;Universidad Nacional de Lomas de Zamora;Facultad de Derecho - sede Escobar;Sucre 1550 - Escobar - Buenos Aires 
252;Universidad Nacional de Lomas de Zamora;Facultad de Derecho - sede Ezeiza;Jorge Newbery Km. 4,5 - Ezeiza - Buenos Aires 
253;Universidad Nacional de Lomas de Zamora;Facultad de Derecho - sede Zárate;Rivadavia 375 - Zarate - Buenos Aires 
248;Universidad Nacional de Lomas de Zamora;Facultad de Ingeniería;Juan XXIII y Ruta Provincial Nº 4 s/n - Lomas De Zamora - Buenos Aires 
250;Universidad Nacional de Lomas de Zamora;Facultad de Ingeniería - sede CABA;Don Bosco 3729 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
258;Universidad Nacional de Lomas de Zamora;Facultad de Ingeniería - sede Hurlingham;Juana Azurduy 218 - Hurlingham - Buenos Aires 
260;Universidad Nacional de Lomas de Zamora;Facultad de Ingeniería - sede Tres Lomas;Juan B. Alberdi 333 - Jose Maria Blanco - Buenos Aires 
257;Universidad Nacional de Lomas de Zamora;Facultad de Ingeniería -sede Avellaneda;Roca 1632 - Avellaneda - Buenos Aires 
261;Universidad Nacional de Lomas de Zamora;Facultad de Ingeniería. - sede General Las Heras;Rivadavia 220 - Enrique Fynn - Buenos Aires 
151;Universidad Nacional de Luján;Centro Regional Campana;Vicente Lopéz y Bertolini S/N - Campana - Buenos Aires 
