Domicilio,Facultad,Municipio,Pais,Provincia,Universidad,index,lat,lng
Ruta Provincial Nº 1 - Km4 sd - Comodoro Rivadavia - Chubut ,Facultad de Humanidades y Ciencias Sociales - Sede Comodoro Rivadavia,Escalante,ARG,Chubut,Universidad Nacional de la Patagonia San Juan Bosco,288,-45.8657412,-67.5026264
Rw Gales y Belgrano sn - Trelew - Chubut ,Facultad de Humanidades y Ciencias Sociales - Sede Trelew,Rawson,ARG,Chubut,Universidad Nacional de la Patagonia San Juan Bosco,294,-43.2524,-65.3179
Boul.Almirante Brown 3051 - Puerto Madryn - Chubut ,Facultad Humanidades y Ciencias Sociales - Sede Puerto Madryn,Biedma,ARG,Chubut,Universidad Nacional de la Patagonia San Juan Bosco,296,-42.7852951,-65.0061527
6 Nro 777 - La Plata - Buenos Aires ,Facultad de Ciencias Económicas,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,298,-35.0474,-58.13752
48 e/ 6 y 7 s/n - La Plata - Buenos Aires ,Facultad de Humanidades y Ciencias de la Educación,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,300,-34.9003139,-57.9668758
Av. Lavalle S/Nº - Villa Union - La Rioja ,Sede Villa Unión,La Rioja,ARG,La Rioja,Universidad Nacional de La Rioja,308,-29.41208,-66.82413
Arroyo Seco SN - Tandil - Buenos Aires ,Facultad de Ciencias Humanas,Tandil,ARG,Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires,310,-37.34123,-59.10922
Pasaje de la Paz 235 - San Martin De Los Andes - Neuquén ,Asentamiento Universitario San Martín de los Andes,Lácar,ARG,Neuquen,Universidad Nacional del Comahue,326,-40.1570655,-71.3595971
Buenos Aires 1400 - Neuquen - Neuquén ,Facultad de Humanidades,Confluencia,ARG,Neuquen,Universidad Nacional del Comahue,328,-38.9415102,-68.0575008
Buenos Airres 1400 - Neuquen - Neuquén ,Facultad de Turismo,Confluencia,ARG,Neuquen,Universidad Nacional del Comahue,332,-38.9415102,-68.0575008
Arturo Illia 360 - Resistencia - Chaco ,"Facultad de Artes, Diseño y Ciencias de la Cultura - Sede Corrientes",San Fernando,ARG,Chaco,Universidad Nacional del Nordeste,338,-27.4554678,-58.9851102
Av. Las Heras 727 - Resistencia - Chaco ,Facultad de Humanidades,San Fernando,ARG,Chaco,Universidad Nacional del Nordeste,342,-27.4632179,-58.9857119
12 de octubre y San Juan - - Bahia Blanca - Buenos Aires ,Departamento de Geografía y Turismo,Bahía Blanca,ARG,Buenos Aires,Universidad Nacional del Sur,350,-38.7061599,-62.26391
San Juan 670 - Bahia Blanca - Buenos Aires ,Departamento de Geología,Bahía Blanca,ARG,Buenos Aires,Universidad Nacional del Sur,356,-38.7023215,-62.2693538
Farias 1590 - San Miguel - Buenos Aires ,Centro Regional San Miguel,San Miguel,ARG,Buenos Aires,Universidad Nacional de Luján,358,-34.5736024,-58.7456752
Funes (Complejo Universitario) 3250 - Mar Del Plata - Buenos Aires ,Facultad de Ciencias Económicas y Sociales,General Pueyrredón,ARG,Buenos Aires,Universidad Nacional de Mar del Plata,364,-38.025457,-57.6195293
Calle 54 3062 - Necochea - Buenos Aires ,Facultad de Ciencias Económicas y Sociales - Sede Necochea,Necochea,ARG,Buenos Aires,Universidad Nacional de Mar del Plata,368,-38.5573808,-58.7388114
Funes (Complejo Universitario) 3350 - Mar Del Plata - Buenos Aires ,Facultad de Humanidades,General Pueyrredón,ARG,Buenos Aires,Universidad Nacional de Mar del Plata,370,-38.0266709,-57.620948
Ruta 12 Km 7.5 - Posadas - Misiones ,Facultad de Ciencias Económicas,Posadas,ARG,Misiones,Universidad Nacional de Misiones,374,-27.40146,-55.9299
TUCUMAN 1946 - Posadas - Misiones ,Facultad de Humanidades y Ciencias Sociales,Posadas,ARG,Misiones,Universidad Nacional de Misiones,376,-27.3724348,-55.8959047
Roque Saenz Peña 352 - Bernal - Buenos Aires ,Departamento de Ciencias Sociales,Quilmes,ARG,Buenos Aires,Universidad Nacional de Quilmes,380,-34.70629,-58.27705
Roque Sáenz Peña 352 - Bernal - Buenos Aires ,Departamento de Economía y Administración,Quilmes,ARG,Buenos Aires,Universidad Nacional de Quilmes,382,-34.70629,-58.27705
Ruta 36 Km 601 - Rio Cuarto - Córdoba ,Facultad de Ciencias Humanas,Río Cuarto,ARG,Cordoba,Universidad Nacional de Río Cuarto,386,-32.4586709,-64.3862245
Mitre 630 - San Carlos De Bariloche - Río Negro ,Unidad Académica Sede Andina,Bariloche,ARG,Rio Negro,Universidad Nacional de Río Negro,390,-41.13346,-71.35978
Av. José I. de la Roza (Oeste) 230 - San Juan - San Juan ,"Facultad de Filosofía, Humanidades y Artes",San Juan,ARG,San Juan,Universidad Nacional de San Juan,398,-31.53748,-68.5288999
Pbro Becerra 540 - Merlo - San Luis ,Facultad de Turismo y Urbanismo,Junín,ARG,San Luis,Universidad Nacional de San Luis,408,-32.33345,-65.02658
Caseros 2253 - Barrio Gral. San Martin - Buenos Aires ,Escuela de Economía y Negocios - San Martín,Daireaux,ARG,Buenos Aires,Universidad Nacional de San Martín,414,-36.60568,-61.75566
Onas 450 - Ushuaia - Tierra Del Fuego ,Instituto de Desarrollo Económico e Innovación,Ushuaia,ARG,Tierra Del Fuego,"Universidad Nacional de Tierra del Fuego, Antártida e Islas del Atlántico Sur",416,-54.8072959,-68.3203366
Valentín Gómez 4828/38 - 3 De Febrero - Buenos Aires ,Secretaría Académica,3 de Febrero,ARG,Buenos Aires,Universidad Nacional de Tres de Febrero,420,-34.6049368,-58.564289
Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán ,Facultad de Filosofía y Letras,San Miguel de Tucumán,ARG,Tucuman,Universidad Nacional de Tucumán,428,-26.8346523,-65.1861108
Alfonsina Storni 41 - Ezeiza - Buenos Aires ,Departamento de Desarrollo Humano y Organizacional,Ezeiza,ARG,Buenos Aires,Universidad Provincial de Ezeiza,432,-34.7892088,-58.5254058
Lavalle 40 - Carmen de Patagones - Buenos Aires ,Sede Académica Carmen de Patagones,Patagones,ARG,Buenos Aires,Universidad Provincial del Sudoeste,436,-40.7950204,-62.9774721
Rodríguez 273 - Mendoza - Mendoza ,Facultad Regional Mendoza,Mendoza,ARG,Mendoza,Universidad Tecnológica Nacional,438,-32.8972239,-68.853692
Intendente Güiraldes 2160 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Ciencias Exactas y Naturales,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Buenos Aires,442,-34.54684,-58.43995
Avenidad Belgrano 300 - San Fernando del Valle de Catamarca - Catamarca ,Escuela de Arqueología,San Fernando del Valle de Catamarca,ARG,Catamarca,Universidad Nacional de Catamarca,443,-28.4606102,-65.7832716
Miguel Lillo 209 - San Miguel De Tucuman - Tucumán ,Facultad de Ciencias Naturales e Instituto Miguel Lillo,San Miguel de Tucumán,ARG,Tucuman,Universidad Nacional de Tucumán,446,-26.83069,-65.2209
