zona_id,lat,lng
S00067,-33.8967445,-60.57383375
S00068,-34.77848525,-58.308454
S00069,-34.7103045,-58.28467475
S00070,-34.716739,-58.26323925
S00071,-35.43231775,-60.1725215
S00072,-34.51048525,-58.488034
S00073,-34.71186325,-58.383621
S00074,-34.71361225,-58.37493275
S00075,-34.34479025,-58.79320275
S00076,-34.6070055,-58.5634555
S00077,-34.605827,-58.5289195
S00078,-34.63859775,-58.54056025
S00079,-34.7796625,-58.39897925
S00080,-34.70628125,-58.39004625
S00081,-34.75780825,-58.207708
S00082,-34.49022125,-58.7242095
S00083,-34.6007951302,-58.4949889019
S00084,-34.592970672,-58.5102660404
S00085,-34.6184718346,-58.3951289548
S00086,-34.5675319929,-58.4424500649
S00087,-34.5724686094,-58.4667983811
S00088,-34.6225229419,-58.4447912532
S00089,-34.6224207748,-58.4279097753
S00090,-34.5933464259,-58.3854656492
S00091,-34.6025882763,-58.4263171557
S00092,-34.6095843914,-58.4170021762
S00093,-34.6138089361,-58.4556760965
S00094,-34.9001793333,-57.959634
S00095,-34.9084913333,-57.9489686667
S00096,-34.923215,-57.9571726667
S00097,-34.9319496667,-57.9382013333
S00098,-34.898115,-57.9500503333
S00099,-34.8293,-58.389182
S00100,-34.8620346667,-58.3928556667
S00101,-34.890316,-58.382822
S00102,-34.690538,-58.3370716667
S00103,-37.8475326667,-58.2530736667
S00104,-35.0506986667,-58.764966
S00105,-34.8890436667,-60.0125486667
S00106,-36.314369,-57.6748376667
S00107,-34.8019066667,-58.451268
S00108,-34.8181923333,-58.4707223333
S00109,-34.8085956667,-58.294738
S00110,-36.020708,-60.0197086667
S00111,-37.996243,-57.5465103333
S00112,-37.9938893333,-57.5656953333
S00113,-34.5756216667,-58.5749706667
S00114,-34.5761133333,-58.5180623333
S00115,-34.548548,-58.551864
S00116,-34.559384,-58.5809843333
S00117,-34.5435876667,-58.5582083333
S00118,-34.4560536667,-58.6322723333
S00119,-34.4986766667,-58.6389156667
S00120,-34.8686756667,-61.53064
S00121,-34.725198,-58.4633276667
S00122,-34.7172353333,-58.4617393333
S00123,-34.7388613333,-58.4447393333
S00124,-34.7379,-58.4307746667
S00125,-34.7699656667,-58.3971256667
S00126,-34.741789,-58.350801
S00127,-34.7305973333,-58.433857
S00128,-34.667483,-58.5849813333
S00129,-34.7403963333,-58.5780576667
S00130,-34.7530073333,-58.5922466667
S00131,-34.714127,-58.5999823333
S00132,-34.720072,-58.5595146667
S00133,-34.682332,-58.500124
S00134,-34.7343333333,-58.584776
S00135,-34.6816953333,-58.513409
S00136,-34.6505156667,-59.425172
S00137,-34.6904056667,-58.687854
S00138,-34.666972,-58.731183
S00139,-34.6707906667,-58.7265653333
S00140,-34.6747953333,-58.718607
S00141,-38.006351,-59.2651003333
S00142,-37.5476633333,-62.7678506667
S00143,-34.7278286667,-58.2640296667
S00144,-34.7233006667,-58.2959963333
S00145,-33.4831473333,-60.004049
S00146,-34.442796,-59.446792
S00147,-34.4455603333,-58.5512663333
S00148,-34.44206,-58.5568193333
S00149,-34.4912243333,-58.5240093333
S00150,-33.6765073333,-59.6615093333
S00151,-35.021525,-58.419118
S00152,-34.68209,-58.632435
S00153,-34.6071866667,-58.5919153333
S00154,-38.1022313333,-62.222787
S00155,-35.9794713333,-62.7392416667
S00156,-34.7007553333,-58.3859503333
S00157,-34.7003283333,-58.429495
S00158,-34.7066746667,-58.4161246667
S00159,-34.857355,-57.90678
S00160,-34.3882403333,-58.7392773333
S00161,-34.5959153333,-58.5928793333
S00162,-34.5611023333,-58.748987
S00163,-34.52383,-58.7206363333
S00164,-34.5722366667,-58.7306493333
S00165,-34.5233663333,-58.7519793333
S00166,-34.5192826667,-58.7462643333
S00167,-34.508209,-58.6696993333
S00168,-34.4848453333,-58.7287766667
S00169,-34.593251,-58.6266873333
S00170,-34.5860963333,-58.6348703333
S00171,-34.9147533333,-57.9583233333
S00172,-34.9399036667,-57.9198663333
S00173,-37.9570303333,-57.5764873333
S00174,-37.9896923333,-57.5703956667
S00175,-34.5737753333,-58.5407853333
S00176,-34.7416473333,-58.3996453333
S00177,-34.648993,-58.5652386667
S00178,-34.586569,-58.7503116667
S00179,-34.6477863333,-58.5938833333
S00180,-34.5284873333,-58.4742503333
S00181,-34.5340273333,-58.706967
S00182,-34.5356753333,-58.74731
S00183,-34.6619056667,-58.66545
S00184,-34.6532773333,-58.6609266667
S00185,-34.6053865227,-58.5139686534
S00186,-34.6214193881,-58.5267050915
S00187,-34.6316631485,-58.5077497708
S00188,-34.6203470819,-58.5101446162
S00189,-34.6403803601,-58.4820378463
S00190,-34.5612864682,-58.4911381774
S00191,-34.5580365972,-58.4790731191
S00192,-34.5520804421,-58.4863069399
S00193,-34.6123886857,-58.3902111536
