index,Universidad,Facultad,coords_o,coords_d,distance_km,ranking
895,Universidad Nacional de Lomas de Zamora,Facultad de Ingeniería,"(-34.590984999999996, -58.526314)","(-34.7418695, -58.372106099999996)",21.9076944232,15.5
895,Universidad Nacional de Lomas de Zamora,Facultad de Ingeniería -sede Avellaneda,"(-34.590984999999996, -58.526314)","(-34.6652447, -58.3531077)",17.8921537402,12.0
895,Universidad Nacional de Lomas de Zamora,Facultad de Ingeniería - sede CABA,"(-34.590984999999996, -58.526314)","(-34.61257, -58.41826)",10.1967367483,4.0
895,Universidad Nacional de Lomas de Zamora,Facultad de Ingeniería - sede Hurlingham,"(-34.590984999999996, -58.526314)","(-34.6160779, -58.63658050000001)",10.4903983084,6.0
895,Universidad Nacional de Quilmes,Departamento de Ciencia y Tecnología,"(-34.590984999999996, -58.526314)","(-34.70629, -58.27705)",26.1880816835,18.0
895,Universidad Nacional de Tres de Febrero,Secretaría Académica,"(-34.590984999999996, -58.526314)","(-34.6049368, -58.564289)",3.81188573008,1.0
895,Universidad Provincial de Ezeiza,Departamento de Desarrollo Humano y Organizacional,"(-34.590984999999996, -58.526314)","(-34.7892088, -58.525405799999994)",21.990097234,17.0
895,Universidad Tecnológica Nacional,Facultad Regional Avellaneda,"(-34.590984999999996, -58.526314)","(-34.694951, -58.327523)",21.5683982827,14.0
895,Universidad Tecnológica Nacional,Facultad Regional Buenos Aires,"(-34.590984999999996, -58.526314)","(-34.68477, -58.44631)",12.7299159699,8.5
895,Universidad Tecnológica Nacional,Facultad Regional Delta,"(-34.590984999999996, -58.526314)","(-34.1787535, -58.96185079999999)",60.7902499196,21.0
895,Universidad Tecnológica Nacional,Facultad Regional Haedo,"(-34.590984999999996, -58.526314)","(-34.64042070000001, -58.601492099999994)",8.80984684741,2.0
895,Universidad Tecnológica Nacional,Facultad Regional La Plata,"(-34.590984999999996, -58.526314)","(-35.0313299, -58.06411)",64.6129974263,23.0
896,Instituto Universitario de Seguridad Marítima,Departamento Académico Escuela de Oficiales,"(-34.590984999999996, -58.526314)","(-34.0940568, -59.0199532)",71.425678673,24.5
896,Instituto Universitario de Seguridad Marítima,Departamento Académico Escuela de Suboficiales,"(-34.590984999999996, -58.526314)","(-34.0940568, -59.0199532)",71.425678673,24.5
896,Universidad de Buenos Aires,Facultad de Ciencias Exactas y Naturales,"(-34.590984999999996, -58.526314)","(-34.54684, -58.43995)",9.31609309571,3.0
896,Universidad de Buenos Aires,Facultad de Farmacia y Bioquímica,"(-34.590984999999996, -58.526314)","(-34.597903, -58.397458400000005)",11.8456192543,7.0
896,Universidad de Buenos Aires,Facultad de Ingeniería,"(-34.590984999999996, -58.526314)","(-34.68477, -58.44631)",12.7299159699,8.5
896,Universidad Nacional Arturo Jauretche,Instituto de Ingeniería y Agronomía,"(-34.590984999999996, -58.526314)","(-34.796310600000005, -58.27863860000001)",32.1532842622,19.0
896,Universidad Nacional de Avellaneda,Departamento de Tecnología y Administración,"(-34.590984999999996, -58.526314)","(-34.6628049, -58.372224800000005)",16.2214650177,10.0
896,Universidad Nacional de General Sarmiento,Instituto de Industria,"(-34.590984999999996, -58.526314)","(-34.5208625, -58.7003265)",17.7643301768,11.0
896,Universidad Nacional de Hurlingham,Instituto de Biotecnología,"(-34.590984999999996, -58.526314)","(-34.6164566, -58.6342231)",10.2935057589,5.0
896,Universidad Nacional de Lanús,Departamento de Desarrollo Productivo y Tecnológico,"(-34.590984999999996, -58.526314)","(-34.7342286, -58.3901502)",20.2060996333,13.0
896,Universidad Nacional de La Plata,Facultad de Ciencias Exactas,"(-34.590984999999996, -58.526314)","(-34.8478691, -58.082593599999996)",49.6392201922,20.0
896,Universidad Nacional de La Plata,Facultad de Ingeniería,"(-34.590984999999996, -58.526314)","(-34.8995898, -57.9386198)",63.7817763063,22.0
896,Universidad Nacional de Lomas de Zamora,Facultad de Derecho,"(-34.590984999999996, -58.526314)","(-34.7418695, -58.372106099999996)",21.9076944232,15.5
