Domicilio,Facultad,Municipio,Pais,Provincia,Universidad,index,lat,lng,coords,zona_id
Av. Valparaíso - Cd. Universitaria S/N - Córdoba - Córdoba ,Facultad de Ciencias de la Comunicación,Córdoba,ARG,Cordoba,Universidad Nacional de Córdoba,214,-31.43697,-64.18558,"(-31.436970000000002, -64.18558)",U00006
Pabellón Residencial - C. Universitaria . - Córdoba - Córdoba ,Facultad de Filosofía y Humanidades,Córdoba,ARG,Cordoba,Universidad Nacional de Córdoba,216,-31.40598,-64.20536,"(-31.40598, -64.20536)",U00083
Centro Univ. - Parque Gral. San Martín Sin nro. - Mendoza - Mendoza ,Facultad de Filosofía y Letras,Mendoza,ARG,Mendoza,Universidad Nacional de Cuyo,218,-32.881753,-68.876431,"(-32.881753, -68.87643100000001)",U00084
Campus Universitario Múltiple-Alem y 25 630 - San Martin - Mendoza ,Facultad de Filosofía y Letras - Delegación Zona Este,San Martín,ARG,Mendoza,Universidad Nacional de Cuyo,226,-33.06729,-68.46847,"(-33.06729, -68.46847)",U00085
Monseñor Tavella 1424 - Concordia - Entre Ríos ,Facultad de Ciencias de la Administración,Concordia,ARG,Entre Rios,Universidad Nacional de Entre Ríos,228,-31.3819795,-58.0221716,"(-31.3819795, -58.0221716)",U00025
Avenida Gobernador Gutnisky 3200 - Formosa - Formosa ,Facultad de Humanidades,Formosa,ARG,Formosa,Universidad Nacional de Formosa,230,-26.1292902,-58.1494648,"(-26.1292902, -58.14946479999999)",U00086
Avda. San Martín y Rivadavia s/n - Laguna Blanca - Formosa ,Facultad de la Producción y Medio Ambiente,Pilcomayo,ARG,Formosa,Universidad Nacional de Formosa,234,-25.13376,-58.2433,"(-25.133760000000002, -58.2433)",U00087
Juan María Gutierrez 1150 - Los Polvorines - Buenos Aires ,Instituto del Conurbano,Malvinas Argentinas,ARG,Buenos Aires,Universidad Nacional de General Sarmiento,236,-34.5208625,-58.7003265,"(-34.5208625, -58.7003265)",U00088
29 de Septiembre 3901 - Remedios de Escalada - Buenos Aires ,Departamento de Desarrollo Productivo y Tecnológico,Lanús,ARG,Buenos Aires,Universidad Nacional de Lanús,238,-34.7342286,-58.3901502,"(-34.7342286, -58.3901502)",U00089
C.Gil 353 - Santa Rosa - La Pampa ,Facultad de Ciencias Humanas,Santa Rosa,ARG,La Pampa,Universidad Nacional de La Pampa,244,-36.6205311,-64.28991,"(-36.6205311, -64.28990999999999)",U00090
RUTA NACIONAL 3 - ACC. NORTE 9011 - Caleta Olivia - Santa Cruz ,UNIDAD ACADEMICA CALETA OLIVIA,Deseado,ARG,Santa Cruz,Universidad Nacional de la Patagonia Austral,252,-46.44555,-67.5103199,"(-46.44555, -67.5103199)",U00091
COLON esq. SARMIENTO - Bº 200 VIV. s/n - Puerto San Julian - Santa Cruz ,UNIDAD ACADEMICA PUERTO SAN JULIAN,Magallanes,ARG,Santa Cruz,Universidad Nacional de la Patagonia Austral,260,-49.3139284,-67.7187486,"(-49.3139284, -67.7187486)",U00092
LISANDRO DE LA TORRE 1070 - Rio Gallegos - Santa Cruz ,UNIDAD ACADEMICA RIO GALLEGOS,Güer Aike,ARG,Santa Cruz,Universidad Nacional de la Patagonia Austral,268,-51.6221036,-69.2551571,"(-51.6221036, -69.2551571)",U00093
AV. DE LOS MINEROS 1260 - El Turbio - Santa Cruz ,UNIDAD ACADEMICA RIO TURBIO,Güer Aike,ARG,Santa Cruz,Universidad Nacional de la Patagonia Austral,280,-51.67383,-72.0982499,"(-51.67383, -72.09824990000001)",U00094
Ruta Provincial Nº 1 - Km4 sd - Comodoro Rivadavia - Chubut ,Facultad de Humanidades y Ciencias Sociales - Sede Comodoro Rivadavia,Escalante,ARG,Chubut,Universidad Nacional de la Patagonia San Juan Bosco,288,-45.8657412,-67.5026264,"(-45.8657412, -67.50262640000001)",U00026
Rw Gales y Belgrano sn - Trelew - Chubut ,Facultad de Humanidades y Ciencias Sociales - Sede Trelew,Rawson,ARG,Chubut,Universidad Nacional de la Patagonia San Juan Bosco,294,-43.2524,-65.3179,"(-43.2524, -65.3179)",U00095
Boul.Almirante Brown 3051 - Puerto Madryn - Chubut ,Facultad Humanidades y Ciencias Sociales - Sede Puerto Madryn,Biedma,ARG,Chubut,Universidad Nacional de la Patagonia San Juan Bosco,296,-42.7852951,-65.0061527,"(-42.7852951, -65.0061527)",U00096
6 Nro 777 - La Plata - Buenos Aires ,Facultad de Ciencias Económicas,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,298,-34.912504,-57.95283,"(-34.912504, -57.952830000000006)",U00027
48 e/ 6 y 7 s/n - La Plata - Buenos Aires ,Facultad de Humanidades y Ciencias de la Educación,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,300,-34.9003139,-57.9668758,"(-34.90031389999999, -57.96687579999999)",U00097
Av. Lavalle S/Nº - Villa Union - La Rioja ,Sede Villa Unión,La Rioja,ARG,La Rioja,Universidad Nacional de La Rioja,308,-29.41208,-66.82413,"(-29.41208, -66.82413000000001)",U00098
Arroyo Seco SN - Tandil - Buenos Aires ,Facultad de Ciencias Humanas,Tandil,ARG,Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires,310,-37.34123,-59.10922,"(-37.341229999999996, -59.10921999999999)",U00099
Pasaje de la Paz 235 - San Martin De Los Andes - Neuquén ,Asentamiento Universitario San Martín de los Andes,Lácar,ARG,Neuquen,Universidad Nacional del Comahue,326,-40.1570655,-71.3595971,"(-40.1570655, -71.35959709999999)",U00100
Buenos Aires 1400 - Neuquen - Neuquén ,Facultad de Humanidades,Confluencia,ARG,Neuquen,Universidad Nacional del Comahue,328,-38.9415102,-68.0575008,"(-38.9415102, -68.05750079999999)",U00101
Buenos Airres 1400 - Neuquen - Neuquén ,Facultad de Turismo,Confluencia,ARG,Neuquen,Universidad Nacional del Comahue,332,-38.9415102,-68.0575008,"(-38.9415102, -68.05750079999999)",U00101
Arturo Illia 360 - Resistencia - Chaco ,"Facultad de Artes, Diseño y Ciencias de la Cultura - Sede Corrientes",San Fernando,ARG,Chaco,Universidad Nacional del Nordeste,338,-27.4554678,-58.9851102,"(-27.4554678, -58.98511020000001)",U00028
Av. Las Heras 727 - Resistencia - Chaco ,Facultad de Humanidades,San Fernando,ARG,Chaco,Universidad Nacional del Nordeste,342,-27.4632179,-58.9857119,"(-27.4632179, -58.9857119)",U00102
12 de octubre y San Juan - - Bahia Blanca - Buenos Aires ,Departamento de Geografía y Turismo,Bahía Blanca,ARG,Buenos Aires,Universidad Nacional del Sur,350,-38.7061599,-62.26391,"(-38.706159899999996, -62.263909999999996)",U00103
San Juan 670 - Bahia Blanca - Buenos Aires ,Departamento de Geología,Bahía Blanca,ARG,Buenos Aires,Universidad Nacional del Sur,356,-38.7023215,-62.2693538,"(-38.702321500000004, -62.2693538)",U00029
Farias 1590 - San Miguel - Buenos Aires ,Centro Regional San Miguel,San Miguel,ARG,Buenos Aires,Universidad Nacional de Luján,358,-34.5736024,-58.7456752,"(-34.5736024, -58.7456752)",U00104
Funes (Complejo Universitario) 3250 - Mar Del Plata - Buenos Aires ,Facultad de Ciencias Económicas y Sociales,General Pueyrredón,ARG,Buenos Aires,Universidad Nacional de Mar del Plata,364,-38.025457,-57.6195293,"(-38.025457, -57.619529299999996)",U00013
Calle 54 3062 - Necochea - Buenos Aires ,Facultad de Ciencias Económicas y Sociales - Sede Necochea,Necochea,ARG,Buenos Aires,Universidad Nacional de Mar del Plata,368,-38.5573808,-58.7388114,"(-38.5573808, -58.738811399999996)",U00105
Funes (Complejo Universitario) 3350 - Mar Del Plata - Buenos Aires ,Facultad de Humanidades,General Pueyrredón,ARG,Buenos Aires,Universidad Nacional de Mar del Plata,370,-38.0266709,-57.620948,"(-38.0266709, -57.620948)",U00013
Ruta 12 Km 7.5 - Posadas - Misiones ,Facultad de Ciencias Económicas,Posadas,ARG,Misiones,Universidad Nacional de Misiones,374,-27.40146,-55.9299,"(-27.401459999999997, -55.9299)",U00106
TUCUMAN 1946 - Posadas - Misiones ,Facultad de Humanidades y Ciencias Sociales,Posadas,ARG,Misiones,Universidad Nacional de Misiones,376,-27.3724348,-55.8959047,"(-27.3724348, -55.8959047)",U00023
Roque Saenz Peña 352 - Bernal - Buenos Aires ,Departamento de Ciencias Sociales,Quilmes,ARG,Buenos Aires,Universidad Nacional de Quilmes,380,-34.70629,-58.27705,"(-34.70629, -58.27705)",U00107
Roque Sáenz Peña 352 - Bernal - Buenos Aires ,Departamento de Economía y Administración,Quilmes,ARG,Buenos Aires,Universidad Nacional de Quilmes,382,-34.70629,-58.27705,"(-34.70629, -58.27705)",U00107
Ruta 36 Km 601 - Rio Cuarto - Córdoba ,Facultad de Ciencias Humanas,Río Cuarto,ARG,Cordoba,Universidad Nacional de Río Cuarto,386,-32.4586709,-64.3862245,"(-32.458670899999994, -64.3862245)",U00108
Mitre 630 - San Carlos De Bariloche - Río Negro ,Unidad Académica Sede Andina,Bariloche,ARG,Rio Negro,Universidad Nacional de Río Negro,390,-41.13346,-71.35978,"(-41.13346, -71.35978)",U00109
Av. José I. de la Roza (Oeste) 230 - San Juan - San Juan ,"Facultad de Filosofía, Humanidades y Artes",San Juan,ARG,San Juan,Universidad Nacional de San Juan,398,-31.53748,-68.5288999,"(-31.53748, -68.52889990000001)",U00110
Pbro Becerra 540 - Merlo - San Luis ,Facultad de Turismo y Urbanismo,Junín,ARG,San Luis,Universidad Nacional de San Luis,408,-32.33345,-65.02658,"(-32.33345, -65.02658000000001)",U00111
Caseros 2253 - Barrio Gral. San Martin - Buenos Aires ,Escuela de Economía y Negocios - San Martín,Daireaux,ARG,Buenos Aires,Universidad Nacional de San Martín,414,-36.60568,-61.75566,"(-36.60568, -61.75566)",U00112
Onas 450 - Ushuaia - Tierra Del Fuego ,Instituto de Desarrollo Económico e Innovación,Ushuaia,ARG,Tierra Del Fuego,"Universidad Nacional de Tierra del Fuego, Antártida e Islas del Atlántico Sur",416,-54.8072959,-68.3203366,"(-54.8072959, -68.32033659999999)",U00113
Valentín Gómez 4828/38 - 3 De Febrero - Buenos Aires ,Secretaría Académica,3 de Febrero,ARG,Buenos Aires,Universidad Nacional de Tres de Febrero,420,-34.6049368,-58.564289,"(-34.6049368, -58.564289)",U00114
Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán ,Facultad de Filosofía y Letras,San Miguel de Tucumán,ARG,Tucuman,Universidad Nacional de Tucumán,428,-26.8346523,-65.1861108,"(-26.8346523, -65.1861108)",U00030
Alfonsina Storni 41 - Ezeiza - Buenos Aires ,Departamento de Desarrollo Humano y Organizacional,Ezeiza,ARG,Buenos Aires,Universidad Provincial de Ezeiza,432,-34.7892088,-58.5254058,"(-34.7892088, -58.525405799999994)",U00115
Lavalle 40 - Carmen de Patagones - Buenos Aires ,Sede Académica Carmen de Patagones,Patagones,ARG,Buenos Aires,Universidad Provincial del Sudoeste,436,-40.7950204,-62.9774721,"(-40.7950204, -62.9774721)",U00116
Rodríguez 273 - Mendoza - Mendoza ,Facultad Regional Mendoza,Mendoza,ARG,Mendoza,Universidad Tecnológica Nacional,438,-32.8972239,-68.853692,"(-32.8972239, -68.85369200000001)",U00117
Intendente Güiraldes 2160 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Ciencias Exactas y Naturales,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Buenos Aires,442,-34.54684,-58.43995,"(-34.54684, -58.43995)",U00118
Avenidad Belgrano 300 - San Fernando del Valle de Catamarca - Catamarca ,Escuela de Arqueología,San Fernando del Valle de Catamarca,ARG,Catamarca,Universidad Nacional de Catamarca,443,-28.4606102,-65.7832716,"(-28.4606102, -65.7832716)",U00024
Miguel Lillo 209 - San Miguel De Tucuman - Tucumán ,Facultad de Ciencias Naturales e Instituto Miguel Lillo,San Miguel de Tucumán,ARG,Tucuman,Universidad Nacional de Tucumán,446,-26.83069,-65.2209,"(-26.83069, -65.2209)",U00119
French 3614 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Departamento de Artes Dramáticas Antonio Cunill Cabanellas,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Instituto Universitario Nacional del Arte,447,-34.58308,-58.41166,"(-34.583079999999995, -58.41166)",U00120
Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Arquitectura.,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Abierta Interamericana,2,-34.60908,-58.37636,"(-34.60908, -58.37636)",U00008
Av. Pellegrini 1816 - Rosario - Santa Fé ,Facultad de Arquitectura - Rosario,Rosario,ARG,Santa Fe,Universidad Abierta Interamericana,450,-33.0316896,-60.6372831,"(-33.0316896, -60.6372831)",U00054
Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Ciencias de la Comunicación,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Abierta Interamericana,2,-34.60908,-58.37636,"(-34.60908, -58.37636)",U00008
Av. Pellegrini 1816 - Rosario - Santa Fé ,Facultad de Ciencias de la Comunicación - Rosario,Rosario,ARG,Santa Fe,Universidad Abierta Interamericana,450,-33.0316896,-60.6372831,"(-33.0316896, -60.6372831)",U00054
