Universidad,Facultad,Direccion
Universidad de Palermo,Facultad de Ingeniería,Dirección: Mario Bravo 1050 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de San Andrés,Departamento de Ciencias Sociales,Dirección: Vito Dumas 284 - Victoria - Buenos Aires 
Universidad de San Andrés,Departamento de Derecho,Dirección: Vito Dumas 284 - Victoria - Buenos Aires 
Universidad de San Andrés,Departamento de Humanidades,Dirección: Vito Dumas 284 - Victoria - Buenos Aires 
Universidad de San Andrés,Departamento de Economia,Dirección: Vito Dumas 284 - Victoria - Buenos Aires 
Universidad de San Andrés,Escuela de Administración y Negocios,Dirección: Vito Dumas 284 - Victoria - Buenos Aires 
Universidad de San Andrés,Escuela de Educación,Dirección: Vito Dumas 284 - Victoria - Buenos Aires 
"Universidad de San Isidro ""Dr. Plácido Marín""",Facultad de Ciencias Humanas y Sociales,Dirección: Av. libertador 17175 - Beccar - Buenos Aires 
"Universidad de San Isidro ""Dr. Plácido Marín""",Facultad de Ciencias Jurídicas y de la Administración,
Universidad del CEMA,Departamento de Ciencias Políticas y Relaciones Internacionales,Dirección: Córdoba 374 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del CEMA,Departamento de Dirección de Empresas,Dirección: Córdoba 374 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del CEMA,Departamento de Finanzas,Dirección: Córdoba 374 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del Museo Social Argentino,Departamento de Posgrado,Dirección: Av. Corrientes 1723 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del Salvador,Facultad de Ciencias Jurídicas,Dirección: Av. Callao 660 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del Salvador,Facultad de Psicología y Psicopedagogía,Dirección: Marcelo T. de Alvear 1335 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del Salvador,Instituto de Prevención de la Drogadependencia,Dirección: Hipólito Yrigoyen 2441 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del Salvador,"Facultad de Historia, Geografía y Turismo",Dirección: Viamonte 2213 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del Salvador,Facultad de Ciencias de la Educación y de la Comunicación Social,Dirección: Av. Callao 835 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del Salvador,Facultad de Medicina,Dirección: Tucumán 1845 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del Salvador,Facultad de Ciencias Económicas y Empresariales,Dirección: Viamonte 1816 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del Salvador,Complejo Educativo Nuestra Señora del Pilar,Dirección: Champagnat 1599 - Pilar - Buenos Aires 
Universidad Favaloro,Facultad de Ingeniería y Ciencias Exactas y Naturales,Dirección: Juan Domingo Perón 3175 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Favaloro,Facultad de Ciencias Humanas y de la Conducta,Dirección: Entre Ríos 495 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Favaloro,Facultad de Ciencias Médicas,Dirección: Solís 453 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Favaloro,Rectorado,Dirección: Solís 453 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad ISALUD,Universidad ISALUD - Área Académica,Dirección: Venezuela 925/31 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Maimónides,Facultad de Ciencias de la Salud,Dirección: Hidalgo 775 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Maimónides,"Facultad de Humanidades, Ciencias Sociales y Empresariales",Dirección: Hidalgo 775 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Nacional Arturo Jauretche,Instituto de Ciencias de la Salud,Dirección: Av San Martín 2002 - Florencio Varela - Buenos Aires 
Universidad Nacional Arturo Jauretche,,
Universidad Nacional Arturo Jauretche,,
Universidad Nacional de Avellaneda,Departamento de Ambiente y Turismo,Dirección: España 350 - Avellaneda - Buenos Aires 
Universidad Nacional de Avellaneda,Departamento de Humanidades y Artes,Dirección: España 350 - Avellaneda - Buenos Aires 
Universidad Nacional de Avellaneda,Departamento de Salud y Actividad Física,Dirección: España 350 - Avellaneda - Buenos Aires 
Universidad Nacional de General Sarmiento,Instituto de Ciencias,Dirección: Juan María Gutierrez 1150 1150 - Los Polvorines - Buenos Aires 
Universidad Nacional de General Sarmiento,Instituto de Industria,Dirección: Juan María Gutierrez 1150 - Los Polvorines - Buenos Aires 
Universidad Nacional de General Sarmiento,Instituto del Conurbano,Dirección: Juan María Gutierrez 1150 - Los Polvorines - Buenos Aires 
Universidad Nacional de General Sarmiento,Instituto del Desarrollo Humano,Dirección: Juan María Gutierrez 1150 - Los Polvorines - Buenos Aires 
Universidad Nacional de Hurlingham,Instituto de Biotecnología,"Dirección: Tte. Origone 151, Hurlingham, Buenos Aires"
Universidad Nacional de Hurlingham,Instituto de Educación,"Dirección: Tte. Origone 151, Hurlingham, Buenos Aires"
Universidad Nacional de Hurlingham,Instituto de Salud Comunitaria,"Dirección: Tte. Origone 151, Hurlingham, Buenos Aires"
Universidad Nacional de Hurlingham,Instituto de Tecnología e Ingeniería,"Dirección: Tte. Origone 151, Hurlingham, Buenos Aires"
Universidad Nacional de La Matanza,,
Universidad Nacional de La Plata,Facultad de Ciencias Naturales y Museo,Dirección: 60 y 122 - - La Plata - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Psicología,Dirección: 51 entre 123 y 124 - - Ensenada - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Informática,Dirección: calle 50 esq 120 - - La Plata - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Ingeniería,Dirección: 1 y 47 - - La Plata - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Ciencias Exactas,Dirección: 115 y 47 - - La Plata - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Odontología,Dirección: 1 y 50 - - La Plata - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Ciencias Jurídicas y Sociales,Dirección: 48 e/ 6 y 7 - - La Plata - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Ciencias Económicas,Dirección: 6 Nro 777 - La Plata - Buenos Aires 
Universidad Nacional de La Plata,Facultad de Ciencias Médicas,Dirección: 60 y 118 - - La Plata - Buenos Aires 
