Universidad,Sede,Direccion
Instituto Universitario de Salud Mental de la Asociación Psicoanalítica de Buenos Aires,Área Cultura,Dirección: Maure 1850 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario de Salud Mental de la Asociación Psicoanalítica de Buenos Aires,Área Psicoanálisis,Dirección: Maure 1850 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario de Salud Mental de la Asociación Psicoanalítica de Buenos Aires,Área Psicopatología,Dirección: Maure 1850 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario Aeronáutico,Instituto de Inteligencia de las Fuerzas Armadas,Dirección: Cabildo 381 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Teología,Dirección: Concordia 4422 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Agronomía,Dirección: Av. San Martín 4453 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
,Facultad de Ciencias Veterinarias,Dirección: Chorroarín 280 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Austral,Facultad de Ingeniería,Dirección: Mariano Acosta 1901 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Flores,Facultad de Actividad Física y Deporte,Dirección: Pedernera 275 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Filosofía y Letras,Dirección: Puán 480 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Maimónides,Facultad de Ciencias de la Salud,Dirección: Hidalgo 775 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Maimónides,"Facultad de Humanidades, Ciencias Sociales y Empresariales",Dirección: Hidalgo 775 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Tecnológica Nacional,Facultad Regional Buenos Aires Campus,"Dirección: Mozart 2300, C1407  Ciudad Autonoma de Buenos Aires "
Universidad Nacional de San Martín,Instituto de Investigaciones sobre el Patrimonio Cultural,Dirección: Benito Quinquela Martín 1784 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Nacional de las Artes,Área Transdepartamental de Artes Multimediales,Dirección: Av. Don Pedro de Mendoza 679 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario Escuela Superior de Economía y Administración de Empresas,Sede Central,Dirección: Uriarte 2472 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Nacional de las Artes,Departamento de Artes Dramáticas,Dirección: French 3614 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Derecho,Dirección: Av.Pte.F.Alcorta 2263 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario de Ciencias de la Salud de la Fundación Barceló,Facultad de Medicina,Dirección: Las Heras 2191 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Austral,Escuela de Educación,Dirección: Cerrito 1250 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Austral,Facultad de Comunicación,Dirección: Cerrito 1250 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Austral,Facultad de Derecho,Dirección: Cerrito 1250 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de la Defensa Nacional,Facultad del Ejército,Dirección: Av Cabildo 65 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Nacional de las Artes,Departamento de Artes Audiovisuales,Dirección: Rocamora 4141 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Nacional de las Artes,Departamento de Artes del Movimiento,Dirección: Sanchez de Loria 443 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina de la Empresa,Escuela de Dirección de Empresas,Dirección: Libertad 1340 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del Salvador,Facultad de Ciencias Jurídicas,Dirección: Av. Callao 660 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Palermo,Facultad de Ciencias Sociales,Dirección: Mario Bravo 1259 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Palermo,Facultad de Derecho,Dirección: Mario Bravo 1050 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Palermo,Facultad de Diseño y Comunicación,Dirección: Mario Bravo 1050 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Palermo,Facultad de Ingeniería,Dirección: Mario Bravo 1050 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Tecnológica Nacional,Facultad Regional Buenos Aires,Dirección: Medrano 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario Escuela de Medicina del Hospital Italiano,Instituto Universitario Escuela de Medicina del Hospital Italiano - UA,Dirección: Potosi 4240 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del Salvador,Facultad de Psicología y Psicopedagogía,Dirección: Marcelo T. de Alvear 1335 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,Departamento de Posgrados,Dirección: Paraguay 1338 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del Salvador,Instituto de Prevención de la Drogadependencia,Dirección: Hipólito Yrigoyen 2441 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Psicología,Dirección: Hipólito Irigoyen 3238 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Favaloro,Facultad de Ingeniería y Ciencias Exactas y Naturales,Dirección: Juan Domingo Perón 3175 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Nacional de Luján,Delegación Académica Capital Federal,Dirección: Ecuador 873 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Rectorado,Dirección: Viamonte 430 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Odontología,Dirección: MarceloT.de Alvear 2142 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Farmacia y Bioquímica,Dirección: Junín 954 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Medicina,Dirección: Paraguay 2155 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del Salvador,"Facultad de Historia, Geografía y Turismo",Dirección: Viamonte 2213 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Ciencias Económicas,Dirección: Av. Córdoba 2122 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad CAECE,Departamento de Humanidades y Ciencias Sociales,Dirección: Junín 516 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
