Domicilio,Facultad,Municipio,Pais,Provincia,Universidad,index,lat,lng,Ámbito,coords_d,zona_id
48 e/ 6 y 7 - - La Plata - Buenos Aires ,Facultad de Ciencias Jurídicas y Sociales,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,2187,-34.9003139,-57.9668758,Público,"(-34.90031389999999, -57.96687579999999)",22
1 y 47 - - La Plata - Buenos Aires ,Facultad de Ingeniería,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,4071,-34.8995898,-57.9386198,Público,"(-34.8995898, -57.9386198)",25
calle 50 esq 120 - - La Plata - Buenos Aires ,Facultad de Informática,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,4392,-34.9059812,-57.9400074,Público,"(-34.90598120000001, -57.9400074)",23
Calle 47 y 1 / Calle 50 y 120 - - La Plata - Buenos Aires ,Facultad de Informática e Ingeniería,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,4395,-34.8994748,-57.9384664,Público,"(-34.89947479999999, -57.938466399999996)",25
Calle 60 y 120 - - La Plata - Buenos Aires ,Escuela Universitaria de Recursos Humanos del Equipo de Salud,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,5341,-34.9097438,-57.9305744,Público,"(-34.909743799999994, -57.9305744)",12
60 y 118 - - La Plata - Buenos Aires ,Facultad de Ciencias Médicas,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,1359,-34.892548,-57.956792,Público,"(-34.892548, -57.95679200000001)",24
1 y 50 - - La Plata - Buenos Aires ,Facultad de Odontología,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,5387,-34.9016396,-57.9353,Público,"(-34.9016396, -57.9353)",46
Calle 9 esq. 63 - - La Plata - Buenos Aires ,Facultad de Trabajo Social,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,5791,-34.9035648,-57.9694609,Público,"(-34.9035648, -57.969460899999994)",47
51 entre 123 y 124 - - Ensenada - Buenos Aires ,Facultad de Psicología,Ensenada,ARG,Buenos Aires,Universidad Nacional de La Plata,5969,-34.8843448,-57.9549852,Público,"(-34.8843448, -57.95498520000001)",48
Farias 1590 - San Miguel - Buenos Aires ,Centro Regional San Miguel,San Miguel,ARG,Buenos Aires,Universidad Nacional de Luján,358,-34.5736024,-58.7456752,Público,"(-34.5736024, -58.7456752)",49
Vicente Lopéz y Bertolini S/N - Campana - Buenos Aires ,Centro Regional Campana,Campana,ARG,Buenos Aires,Universidad Nacional de Luján,1382,-34.18053,-58.94717,Público,"(-34.18053, -58.94716999999999)",50
Av. del Libertador 1700 - San Fernando - Buenos Aires ,Delegación Académica San Fernando,San Fernando,ARG,Buenos Aires,Universidad Nacional de Luján,3618,-34.44856,-58.53662,Público,"(-34.44856, -58.53661999999999)",51
Ruta Nac. 5 y Constitución S/N - Lujan - Buenos Aires ,Rectorado Sede Central,Luján,ARG,Buenos Aires,Universidad Nacional de Luján,360,-34.5774135,-59.090961,Público,"(-34.5774135, -59.090961)",52
Roque Saenz Peña 352 - Bernal - Buenos Aires ,Departamento de Ciencias Sociales,Quilmes,ARG,Buenos Aires,Universidad Nacional de Quilmes,380,-34.70629,-58.27705,Público,"(-34.70629, -58.27705)",13
Roque Sáenz Peña 352 - Bernal - Buenos Aires ,Departamento de Economía y Administración,Quilmes,ARG,Buenos Aires,Universidad Nacional de Quilmes,382,-34.70629,-58.27705,Público,"(-34.70629, -58.27705)",13
Roque Saenz Peña 352 - Bernal - Buenos Aires ,Departamento de Ciencia y Tecnología,Quilmes,ARG,Buenos Aires,Universidad Nacional de Quilmes,380,-34.70629,-58.27705,Público,"(-34.70629, -58.27705)",13
Valentín Gómez 4828/38 - 3 De Febrero - Buenos Aires ,Secretaría Académica,3 de Febrero,ARG,Buenos Aires,Universidad Nacional de Tres de Febrero,420,-34.6049368,-58.564289,Público,"(-34.6049368, -58.564289)",53
Av .San Martin 2024 - 3 De Febrero - Buenos Aires ,UNTREF Virtual,3 de Febrero,ARG,Buenos Aires,Universidad Nacional de Tres de Febrero,2031,-34.6433899,-58.54076,Público,"(-34.643389899999995, -58.54076)",54
Alfonsina Storni 41 - Ezeiza - Buenos Aires ,Departamento de Desarrollo Humano y Organizacional,Ezeiza,ARG,Buenos Aires,Universidad Provincial de Ezeiza,432,-34.7892088,-58.5254058,Público,"(-34.7892088, -58.525405799999994)",14
