,Universidad,Facultad,Dirección,Nombre,Pais,Provincia,Municipio,lng,lat
56,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Ciencias Económicas,Alicia Moreau de Justo 1400 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Pontificia Universidad Católica Argentina Santa María de los Buenos Aires, Facultad de Ciencias Económicas",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.36495,-34.6237799
57,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Filosofía y Letras,Av.Alicia Moreau de 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Pontificia Universidad Católica Argentina Santa María de los Buenos Aires, Facultad de Filosofía y Letras",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.36495,-34.6237799
58,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Centro Regional Pergamino,"Pasteur 68, Pergamino, Pcia de Buenos Aires, Argentina","Pontificia Universidad Católica Argentina Santa María de los Buenos Aires, Centro Regional Pergamino",ARG,Buenos Aires,Pergamino,-60.5705881,-33.8890633
59,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Derecho Canónico,Av. Alicia Moreau de Justo 1600 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Pontificia Universidad Católica Argentina Santa María de los Buenos Aires, Facultad de Derecho Canónico",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.36585,-34.617
60,Universidad Abierta Interamericana,Facultad de Ciencias de la Comunicación,San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Universidad Abierta Interamericana, Facultad de Ciencias de la Comunicación",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.4479152,-34.5704449
61,Universidad Abierta Interamericana,Facultad de Ciencias Empresariales,San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Universidad Abierta Interamericana, Facultad de Ciencias Empresariales",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.4479152,-34.5704449
62,Universidad Abierta Interamericana,Facultad de Desarrollo e Investigación Educativos,San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Universidad Abierta Interamericana, Facultad de Desarrollo e Investigación Educativos",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.4479152,-34.5704449
63,Universidad Abierta Interamericana,Facultad de Medicina y Ciencias de la Salud,San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Universidad Abierta Interamericana, Facultad de Medicina y Ciencias de la Salud",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.4479152,-34.5704449
64,Universidad Abierta Interamericana,Facultad de Psicología y Relaciones Humanas,San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Universidad Abierta Interamericana, Facultad de Psicología y Relaciones Humanas",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.4479152,-34.5704449
65,Universidad Abierta Interamericana,Facultad de Motricidad Humana y Deportes,San Juan 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Universidad Abierta Interamericana, Facultad de Motricidad Humana y Deportes",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.4479152,-34.5704449
