cue,anexo,nombre_estab,lat,lng,municipio,Provincia,nivel,sector de gestión,Matricula est 5to
617011,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº38,-34.984279,-58.089017,La Plata,Buenos Aires,Nivel Secundario,Estatal,60.0
617011,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº38,-34.984279,-58.089017,La Plata,Buenos Aires,Nivel Medio,Estatal,20.0
617692,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº41 ""ESCUELA DEL BICENTENARIO""",-34.990121,-58.134773,La Plata,Buenos Aires,Nivel Secundario,Estatal,21.0
617720,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº42,-34.879616,-58.076188,La Plata,Buenos Aires,Nivel Secundario,Estatal,49.0
617693,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº43,-34.97844,-57.865447,La Plata,Buenos Aires,Nivel Secundario,Estatal,22.0
617713,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº44,-34.940449,-57.940879,La Plata,Buenos Aires,Nivel Secundario,Estatal,46.0
618831,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº45,-34.952122,-57.928879,La Plata,Buenos Aires,Nivel Secundario,Estatal,51.0
617319,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº46,-34.931729,-57.937838,La Plata,Buenos Aires,Nivel Secundario,Estatal,55.0
617732,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº47,-34.887091,-58.058204,La Plata,Buenos Aires,Nivel Secundario,Estatal,18.0
622341,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº48,-35.060257,-57.954592,La Plata,Buenos Aires,Nivel Secundario,Estatal,21.0
617723,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº49,-34.969399,-57.945122,La Plata,Buenos Aires,Nivel Secundario,Estatal,35.0
617735,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº50,-34.881925,-57.966088,La Plata,Buenos Aires,Nivel Secundario,Estatal,32.0
617735,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº50,-34.881925,-57.966088,La Plata,Buenos Aires,Nivel Medio,Estatal,11.0
617706,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº51,-34.988793,-57.958744,La Plata,Buenos Aires,Nivel Secundario,Estatal,26.0
617321,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº52,-34.957697,-57.947182,La Plata,Buenos Aires,Nivel Secundario,Estatal,42.0
617701,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº53,-35.009908,-58.001813,La Plata,Buenos Aires,Nivel Secundario,Estatal,50.0
617714,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº54,-34.939833,-57.883582,La Plata,Buenos Aires,Nivel Secundario,Estatal,40.0
617733,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº55,-34.930654,-57.925702,La Plata,Buenos Aires,Nivel Secundario,Estatal,45.0
618980,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº56,-34.937534,-57.952765,La Plata,Buenos Aires,Nivel Secundario,Estatal,49.0
622728,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº57,-34.902498,-58.076155,La Plata,Buenos Aires,Nivel Secundario,Estatal,16.0
622492,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº59,-34.873051,-58.019291,La Plata,Buenos Aires,Nivel Secundario,Estatal,16.0
622729,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº60,-35.023144,-58.230526,La Plata,Buenos Aires,Nivel Secundario,Estatal,12.0
617716,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº61,-35.033011,-58.076452,La Plata,Buenos Aires,Nivel Secundario,Estatal,66.0
617716,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº61,-35.033011,-58.076452,La Plata,Buenos Aires,Nivel Medio,Estatal,9.0
618589,0,ESCUELA DE EDUCACION SECUNDARIA Nº62,-34.926821,-57.954678,La Plata,Buenos Aires,Nivel Secundario,Estatal,41.0
617705,0,ESCUELA DE EDUCACION SECUNDARIA Nº63,-34.868059,-58.058637,La Plata,Buenos Aires,Nivel Secundario,Estatal,16.0
617320,0,ESCUELA DE EDUCACION SECUNDARIA Nº64,-34.928279,-57.966641,La Plata,Buenos Aires,Nivel Secundario,Estatal,66.0
617289,0,ESCUELA DE EDUCACION SECUNDARIA Nº65,-34.922958,-57.98653,La Plata,Buenos Aires,Nivel Secundario,Estatal,43.0
617295,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº66,-34.920564,-57.92429,La Plata,Buenos Aires,Nivel Secundario,Estatal,34.0
617729,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº67,-34.874125,-58.106316,La Plata,Buenos Aires,Nivel Secundario,Estatal,42.0
617711,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº68,-34.93188,-58.000091,La Plata,Buenos Aires,Nivel Secundario,Estatal,40.0
618450,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº70,-34.92211,-57.961048,La Plata,Buenos Aires,Nivel Secundario,Estatal,37.0
618981,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº71,-34.930822,-57.909203,La Plata,Buenos Aires,Nivel Secundario,Estatal,26.0
617734,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº72,-34.935713,-58.171153,La Plata,Buenos Aires,Nivel Secundario,Estatal,55.0
617699,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº73,-34.981293,-58.090756,La Plata,Buenos Aires,Nivel Secundario,Estatal,75.0
