,-,Rama,Rama,Rama,Rama,-,-,-,-,-,-,-,-,Ciencias Humanas,Ciencias Humanas,Ciencias Humanas,Ciencias Humanas,-,-,-,-,-,-,-,-
0,Institución,Total,Ciencias,Humanas,,-,Arqueología,,-,-,Artes,,-,Educación,,,,-,Filosofía,,-,-,Historia,,-
1,-,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
44,Sur,2.029,473,1.556,100,-,-,-,-,104,3,101,8,273,84,189,39,331,96,235,7,711,160,551,19
45,Tecnológica Nacional,1.047,316,731,72,-,-,-,-,-,-,-,-,765,316,449,41,-,-,-,-,-,-,-,-
46,Tierra del Fuego,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,Tres de Febrero,4.752,2.012,2.740,156,-,-,-,-,2.096,841,1.255,36,1.409,608,801,97,80,48,32,2,1.167,515,652,21
48,Tucumán,15.482,3.839,11.643,283,156,15,141,8,3.397,999,2.398,68,2.686,653,2.033,75,269,53,216,5,931,290,641,7
49,Villa María,1.016,517,499,38,-,-,-,-,193,64,129,7,615,386,229,25,-,-,-,-,-,-,-,-
50,Villa Mercedes,35,35,-,-,-,-,-,-,-,-,-,-,35,35,-,-,-,-,-,-,-,-,-,-
51,Total Institutos Universitarios,14.829,3.946,10.883,188,-,-,-,-,14.661,3.844,10.817,156,168,102,66,32,-,-,-,-,-,-,-,-
52,Aeronáutico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,Instituto Univ. del Ejército,17,17,0,12,-,-,-,-,-,-,-,-,17,17,0,12,-,-,-,-,-,-,-,-
54,Gendarmería,48,30,18,12,-,-,-,-,-,-,-,-,48,30,18,12,-,-,-,-,-,-,-,-
55,IUNA,14.661,3.844,10.817,156,-,-,-,-,14.661,3.844,10.817,156,-,-,-,-,-,-,-,-,-,-,-,-
56,Naval,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,Policía Federal Argentina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,Seguridad Marítima,103,55,48,8,-,-,-,-,-,-,-,-,103,55,48,8,-,-,-,-,-,-,-,-
59,Total Universidad Provincial,10.364,2.964,7.400,257,-,-,-,-,933,276,657,1,2.297,667,1.630,86,154,36,118,1,653,176,477,15
60,Autónoma de Entre Ríos,10.364,2.964,7.400,257,-,-,-,-,933,276,657,1,2.297,667,1.630,86,154,36,118,1,653,176,477,15
