"",,,Total,,,,Ciencias Aplicadas,,,Ciencias Básicas,,,Ciencias de la Salud,,,Ciencias Humanas,
Institución,,,,,,,,,,,,,,,,,
"",EST,NI,RE,,EGRE,EST,NI RE,EGRE,EST,NI RE,EGRE,EST,NI RE,EGRE,EST,NI RE,EGRE
Noroeste de la PBA,6.225,1.298,4.927,,179,2.556,445 2.111,49,235,45 190,6,219,56 163,0,-,- -,-
Oeste,1.657,,738 919,,21,396,192 204,0,-,- -,-,291,129 162,0,436,132 304,21
Patagonia Austral,7.289,3.076,4.213,,161,1.676,947 729,16,279,79 200,5,796,342 454,29,2.046,752 1.294,85
Patagonia S. J. Bosco,13.292,3.331,9.961,,394,2.657,601 2.056,85,1.474,372 1.102,54,394,156 238,32,1.108,372 736,34
Quilmes,22.451,5.654,16.797,,839,2.844,729 2.115,57,-,- -,-,2.249,671 1.578,167,3.729,1.224 2.505,214
Río Cuarto,15.290,3.101,12.189,,909,3.234,578 2.656,187,890,186 704,74,2.826,509 2.317,225,3.294,677 2.617,213
Río Negro,6.988,3.343,3.645,,132,1.993,1.030 963,28,476,243 233,7,490,196 294,0,1.349,685 664,38
Rosario,74.234,15.143,59.091,,10.016,16.515,2.775 13.740,1.331,1.030,297 733,251,16.608,3.290 13.318,1.728,13.607,3.599 10.008,497
Salta,28.015,5.956,22.059,,509,7.936,1.838 6.098,140,2.972,653 2.319,81,4.897,1.175 3.722,160,3.060,464 2.596,52
San Juan,20.533,3.904,16.629,,777,7.186,1.367 5.819,311,1.173,264 909,48,424,143 281,70,3.261,662 2.599,80
San Luis,13.554,3.508,10.046,,583,4.636,1.160 3.476,165,983,219 764,65,1.521,606 915,26,3.820,892 2.928,239
San Martín,12.971,3.803,9.168,,1.137,1.922,534 1.388,56,294,95 199,3,1.608,360 1.248,231,2.483,881 1.602,233
Santiago del Estero,16.160,3.776,12.384,,1.310,2.861,667 2.194,63,565,172 393,20,1.823,251 1.572,167,7.017,1.929 5.088,899
Sur,18.279,3.513,14.766,,1.101,7.083,1.210 5.873,472,1.451,457 994,54,857,177 680,100,2.029,473 1.556,100
Tecnológica Nacional,80.052,16.616,63.436,,4.757,74.503,15.059 59.444,3.625,974,73 901,545,,- - -,-,1.047,316 731,72
Tierra del Fuego,571,,571,-,-,133,133 0,0,66,66 -,-,,- - -,-,-,- -,-
Tres de Febrero,12.451,5.703,6.748,,490,1.759,842 917,57,258,94 164,5,346,174 172,33,4.752,2.012 2.740,156
Tucumán,63.524,11.399,52.125,,2.452,14.126,2.092 12.034,493,2.040,585 1.455,55,9.671,990 8.681,556,15.482,3.839 11.643,283
Villa María,5.798,2.327,3.471,,240,1.466,487 979,72,157,98 59,2,805,401 404,4,1.016,517 499,38
Villa Mercedes,879,,879,-,-,228,228 -,-,37,37 -,-,528,528 -,-,35,35 -,-
Total Institutos Universitarios,28.967,7.955,21.012,,2.619,3.622,771 2.851,739,-,- -,-,556,171 385,131,14.829,3.946 10.883,188
Aeronáutico,5.616,,889 4.727,,977,1.767,313 1.454,244,-,- -,-,,- - -,-,-,- -,-
Instituto Univ. del Ejército,1.876,,985 891,,281,275,66 209,44,-,- -,-,119,28 91,22,17,17 0,12
Gendarmería,1.302,,451 851,,199,,- - -,-,-,- -,-,,- - -,-,48,30 18,12
IUNA,14.725,3.865,10.860,,156,64,21 43,0,-,- -,-,,- - -,-,14.661,3.844 10.817,156
Naval,804,,259 545,,117,377,80 297,55,-,- -,-,,- - -,-,-,- -,-
Policía Federal Argentina,3.293,,837 2.456,,364,293,0 293,53,-,- -,-,405,135 270,77,-,- -,-
Seguridad Marítima,1.351,,669 682,,525,846,291 555,343,-,- -,-,32,8 24,32,103,55 48,8
Total Universidad Provincial,20.057,5.797,14.260,,801,1.743,564 1.179,109,1.138,350 788,42,1.401,461 940,159,10.364,2.964 7.400,257
Autónoma de Entre Ríos,20.057,5.797,14.260,,801,1.743,564 1.179,109,1.138,350 788,42,1.401,461 940,159,10.364,2.964 7.400,257
